path	title	source_file	source_type	confidence	date	tags	first_body_line
Archive/Projects/Hotel Investment/Due Diligence/DNR VO Process.md	Optimizing Collaboration  Clarifying the DNR VO Process between Hospitality and Development				"2026-05-10"		# BPI DRAFT
Archive/Projects/Hotel Investment/Due Diligence/_index.md	Due Diligence				"2026-05-10"		# Due Diligence
Archive/Projects/Hotel Investment/Financial Models/Lease vs Franchise.md	Hotel P&L Lease vs. Franchise				"2026-05-10"		# Hotel P&L Lease vs. Franchise
Archive/Projects/Hotel Investment/Financial Models/Models.md	Models				2026-05-10		# Models
Archive/Projects/Hotel Investment/Financial Models/Occupancy BB.md	160314 Bezetting BB.xlsx				"2026-05-10"		# 160314 Bezetting BB.xlsx
Archive/Projects/Hotel Investment/Financial Models/_index.md	Financial Models				"2026-05-10"		# Financial Models
Archive/Projects/Hotel Investment/Research/Investment Memorandum.md	Hotel Investment Memorandum Validation Guide				"2026-05-10"		# **The Lodging Investment Masterclass: A Comprehensive Guide to Validating Hotel Investment Memorandums**
Archive/Projects/Hotel Investment/Research/_index.md	Research				"2026-05-10"		# Research
Areas/_index.md							
Areas/finance/2025-05-06-current-cash-ra-a-accounts-20250505-20250505.md	Current Cash RA A accounts 20250505 20250505	3. Personal\Arthur van Schendel\To Share Notaris\Current_Cash_RA_A_accounts_20250505_20250505.pdf	pdf	0.8	2025-05-06	[finance]	Rabobank Utrecht en omstreken
Areas/finance/2025-10-08-a111-amstel111-owner-update-condensed.md	A111 (Amstel111) — Owner Update (Condensed)	3. Personal\Personal Finance\Investor Guru.md	md	0.8	2025-10-08	[finance]	# A111 (Amstel111) — Owner Update (Condensed)
Areas/finance/2025-11-01-dutch-money-optimisation-playbook.md	Dutch Money Optimisation Playbook	3. Personal\Personal Finance\Finanial Accountants Per LLM\Dutch_Money_Optimisation_Playbook.pdf	pdf	0.8	2025-11-01	[finance]	Money Optimisation Playbook (Netherlands) – **Direct,
Areas/finance/2025-11-02-chatgemini.md	ChatGemini	3. Personal\Personal Finance\Finanial Accountants Per LLM\ChatGemini.docx	docx	0.8	2025-11-02	[finance]	Here is your implementation playbook.
Areas/finance/2025-11-02-chatthinking.md	ChatThinking	3. Personal\Personal Finance\Finanial Accountants Per LLM\ChatThinking.docx	docx	0.8	2025-11-02	[finance]	USER DATA (repeated)
Areas/finance/2025-11-02-claudethinking.md	ClaudeThinking	3. Personal\Personal Finance\Finanial Accountants Per LLM\ClaudeThinking.docx	docx	0.8	2025-11-02	[finance]	AI CFO PLAYBOOK – DUTCH TAX-OPTIMIZED MONEY SYSTEM
Areas/finance/2026-04-01-prd-thomas-finance-dashboard-v2-feature-set.md	PRD: Thomas Finance Dashboard — v2 Feature Set	Downloads\PRD_Thomas_Finance_v2.md	md	0.8	2026-04-01	[finance, archived]	# PRD: Thomas Finance Dashboard — v2 Feature Set
Areas/finance/2026-04-06-finance-backup-2026-04-06.md	finance backup 2026 04 06	Downloads\finance-backup-2026-04-06.json	json	0.5	2026-04-06	[finance, archived]	```json
Areas/finance/2026-04-06-personal-finance-dashboard-prd.md	Personal Finance Dashboard — PRD	3. Personal\Personal Finance\PRD-briefing-and-ytd.md	md	0.8	2026-04-06	[finance]	# Personal Finance Dashboard — PRD
Areas/finance/2026-04-11-finance-backup-2026-04-11.md	finance backup 2026 04 11	Downloads\finance-backup-2026-04-11.json	json	0.5	2026-04-11	[finance, archived]	```json
Areas/finance/2026-04-11-portfolio-strategy.md	portfolio-strategy	3. Personal\Personal Finance\portfolio-strategy.md	md	0.8	2026-04-11	[finance]	# portfolio-strategy
Areas/finance/2026-04-15-finance-backup-2026-04-15.md	finance backup 2026 04 15	Downloads\finance-backup-2026-04-15.json	json	0.5	2026-04-15	[finance, archived]	```json
Areas/finance/2026-04-15-finance-labels.md	finance labels	Downloads\finance-labels.json	json	0.5	2026-04-15	[finance]	```json
Areas/finance/2026-04-15-two-file-prd-authoring-plan.md	Two-File PRD Authoring Plan	3. Personal\Personal Finance\PLAN.md	md	0.8	2026-04-15	[finance, project]	# Two-File PRD Authoring Plan
Areas/finance/2026-04-16-personal-finance-dashboard-user-manual.md	Personal Finance Dashboard User Manual	3. Personal\Personal Finance\Personal finance dashboard\docs\user-manual.md	md	0.8	2026-04-16	[finance, reference]	# Personal Finance Dashboard User Manual
Areas/finance/2026-04-21-adr-storage-localstorage-now-indexeddb-dexie-later.md	ADR — Storage: localStorage Now, IndexedDB (Dexie) Later	3. Personal\Personal Finance\Personal finance dashboard\docs\prds\03-storage-adr.md	md	0.8	2026-04-21	[finance]	# ADR — Storage: localStorage Now, IndexedDB (Dexie) Later
Areas/finance/2026-04-21-changelog.md	Changelog	3. Personal\Personal Finance\Personal finance dashboard\CHANGELOG.md	md	0.8	2026-04-21	[finance]	# Changelog
Areas/finance/2026-04-22-codex-pr-body.md	codex pr body	3. Personal\Personal Finance\Personal finance dashboard\.git\codex-pr-body.md	md	0.8	2026-04-22	[finance]	## Summary
Areas/finance/2026-04-23-execution-playbook-mvp-sprint.md	Execution Playbook — MVP Sprint	3. Personal\Personal Finance\Personal finance dashboard\docs\plans\mvp-execution-playbook.md	md	0.8	2026-04-23	[finance, project]	# Execution Playbook — MVP Sprint
Areas/finance/2026-04-23-ideas-finance-tracker.md	ideas finance tracker	Downloads\ideas finance tracker.docx	docx	0.8	2026-04-23	[finance, idea]	Remaining issues
Areas/finance/2026-04-23-prd-equity-section-automatic-investment-tracking.md	PRD — Equity Section + Automatic Investment Tracking	3. Personal\Personal Finance\Personal finance dashboard\docs\prds\02-equity-investments.md	md	0.8	2026-04-23	[finance]	# PRD — Equity Section + Automatic Investment Tracking
Areas/finance/2026-04-23-prd-monthly-budgeting-envelope-zero-based.md	PRD — Monthly Budgeting (Envelope / Zero-based)	3. Personal\Personal Finance\Personal finance dashboard\docs\prds\01-budgeting-envelope.md	md	0.8	2026-04-23	[finance]	# PRD — Monthly Budgeting (Envelope / Zero-based)
Areas/finance/2026-04-24-codex-synced-branch.md	codex synced branch	3. Personal\Personal Finance\Personal finance dashboard\.git\codex-synced-branch.json	json	0.5	2026-04-24	[finance]	```json
Areas/finance/2026-04-24-portfolio-redesign-phase-0-implementation-plan.md	Portfolio Redesign — Phase 0 Implementation Plan	3. Personal\Personal Finance\Personal finance dashboard\docs\portfolio-redesign-implementation-plan.md	md	0.8	2026-04-24	[finance, project]	# Portfolio Redesign — Phase 0 Implementation Plan
Areas/finance/2026-04-24-prd-portfolio-section-redesign-timelineledger.md	PRD: Portfolio Section Redesign (Timeline/Ledger)	3. Personal\Personal Finance\Personal finance dashboard\docs\prd-portfolio-redesign.md	md	0.8	2026-04-24	[finance]	# PRD: Portfolio Section Redesign (Timeline/Ledger)
Areas/finance/2026-04-25-finance-backup-2026-04-25.md	finance backup 2026 04 25	Downloads\finance-backup-2026-04-25.json	json	0.5	2026-04-25	[finance, archived]	```json
Areas/finance/2026-04-28-from-2026-04-08-to-2026-04-28-mtc3nzm4oda3ndczng.md	from 2026 04 08 to 2026 04 28 MTc3NzM4ODA3NDczNg	Downloads\from_2026-04-08_to_2026-04-28_MTc3NzM4ODA3NDczNg (TRADING212).csv	csv	0.8	2026-04-28	[finance]	| Action | Time | ISIN | Ticker | Name | Notes | ID | No. of shares | Price / share | Currency (Price / share) | Exchang
Areas/finance/2026-04-30-docsportfolio-overhaul-planmd-portfolio-overhaul.md	docs/portfolio-overhaul-plan.md — Portfolio Overhaul Implementation Plan	3. Personal\Personal Finance\Personal finance dashboard\docs\portfolio-overhaul-plan.md	md	0.8	2026-04-30	[finance, project]	# docs/portfolio-overhaul-plan.md — Portfolio Overhaul Implementation Plan
Areas/finance/2026-04-30-package.md	package	3. Personal\Personal Finance\Personal finance dashboard\package.json	json	0.5	2026-04-30	[finance]	```json
Areas/finance/2026-04-30-portfolio-overhaul-test-report.md	Portfolio Overhaul — Test Report	3. Personal\Personal Finance\Personal finance dashboard\docs\portfolio-overhaul-test-report.md	md	0.8	2026-04-30	[finance]	# Portfolio Overhaul — Test Report
Areas/finance/2026-04-30-prd-portfolio-feature-overhaul.md	PRD: Portfolio Feature Overhaul	3. Personal\Personal Finance\Personal finance dashboard\docs\portfolio-overhaul-prd.md	md	0.8	2026-04-30	[finance]	# PRD: Portfolio Feature Overhaul
Areas/finance/2026-04-30-settingslocal.md	settings.local	3. Personal\Personal Finance\Personal finance dashboard\.claude\settings.local.json	json	0.5	2026-04-30	[finance]	```json
Areas/finance/2026-05-06-chrome.md	Chrome	Downloads\Personal Finance Design System\ui_kits\dashboard_v2\Chrome.jsx	jsx	0.5	2026-05-06	[finance, archived]	```jsx
Areas/finance/2026-05-06-dashboard-ui-kit.md	Dashboard UI kit	Downloads\Personal Finance Design System\ui_kits\dashboard_v2\README.md	md	0.8	2026-05-06	[finance, reference, archived]	# Dashboard UI kit
Areas/finance/2026-05-06-extrascreens.md	ExtraScreens	Downloads\Personal Finance Design System\ui_kits\dashboard_v2\ExtraScreens.jsx	jsx	0.5	2026-05-06	[finance, archived]	```jsx
Areas/finance/2026-05-06-icon.md	Icon	Downloads\Personal Finance Design System\ui_kits\dashboard_v2\Icon.jsx	jsx	0.5	2026-05-06	[finance, archived]	```jsx
Areas/finance/2026-05-06-index.md	index	Downloads\Personal Finance Design System\ui_kits\dashboard_v2\index.html	html	0.8	2026-05-06	[finance, archived]	Thomas Finance — Dashboard UI Kit
Areas/finance/2026-05-06-kit.md	kit	Downloads\Personal Finance Design System\ui_kits\dashboard_v2\kit.css	css	0.5	2026-05-06	[finance, archived]	```css
Areas/finance/2026-05-06-overlays.md	Overlays	Downloads\Personal Finance Design System\ui_kits\dashboard_v2\Overlays.jsx	jsx	0.5	2026-05-06	[finance, archived]	```jsx
Areas/finance/2026-05-06-screens.md	Screens	Downloads\Personal Finance Design System\ui_kits\dashboard_v2\Screens.jsx	jsx	0.5	2026-05-06	[finance, archived]	```jsx
Areas/finance/2026-05-06-viteconfig.md	vite.config	3. Personal\Personal Finance\Personal finance dashboard\vite.config.js	js	0.5	2026-05-06	[finance]	```js
Areas/finance/2026-05-07-claudemd.md	CLAUDE.md	3. Personal\Personal Finance\Personal finance dashboard\CLAUDE.md	md	0.8	2026-05-07	[finance]	# CLAUDE.md
Areas/finance/2026-05-07-component-specs-keep-dashboard.md	Component specs — Keep dashboard	3. Personal\Personal Finance\Personal finance dashboard\docs\COMPONENT_SPECS.md	md	0.8	2026-05-07	[finance]	# Component specs — Keep dashboard
Areas/finance/2026-05-07-eslintconfig.md	eslint.config	3. Personal\Personal Finance\Personal finance dashboard\eslint.config.js	js	0.5	2026-05-07	[finance]	```js
Areas/finance/2026-05-07-handoff-verification-checklist.md	HANDOFF Verification Checklist	3. Personal\Personal Finance\Personal finance dashboard\HANDOFF.md	md	0.8	2026-05-07	[finance]	# HANDOFF Verification Checklist
Areas/finance/2026-05-07-index.md	index	3. Personal\Personal Finance\Personal finance dashboard\index.html	html	0.8	2026-05-07	[finance]	Keep
Areas/finance/2026-05-07-launch.md	launch	3. Personal\Personal Finance\Personal finance dashboard\.claude\launch.json	json	0.5	2026-05-07	[finance]	```json
Areas/finance/2026-05-07-package-lock.md	package lock	3. Personal\Personal Finance\Personal finance dashboard\package-lock.json	json	0.5	2026-05-07	[finance]	```json
Areas/finance/2026-05-07-personal-finance-dashboard.md	Personal Finance Dashboard	3. Personal\Personal Finance\Personal finance dashboard\README.md	md	0.8	2026-05-07	[finance, reference]	# Personal Finance Dashboard
Areas/finance/2026-05-07-screen-acceptance-keep-dashboard.md	Screen acceptance — Keep dashboard	3. Personal\Personal Finance\Personal finance dashboard\docs\SCREEN_ACCEPTANCE.md	md	0.8	2026-05-07	[finance]	# Screen acceptance — Keep dashboard
Areas/finance/2026-05-08-chart-vendor-doy70yrx.md	chart vendor DOY70yRX	3. Personal\Personal Finance\Personal finance dashboard\dist\assets\chart-vendor-DOY70yRX.js	js	0.5	2026-05-08	[finance]	```js
Areas/finance/2026-05-08-index-cgldgdip.md	index CglDGDIp	3. Personal\Personal Finance\Personal finance dashboard\dist\assets\index-CglDGDIp.css	css	0.5	2026-05-08	[finance]	```css
Areas/finance/2026-05-08-index-csi9tfv7.md	index CSI9TfV7	3. Personal\Personal Finance\Personal finance dashboard\dist\assets\index-CSI9TfV7.js	js	0.5	2026-05-08	[finance]	```js
Areas/finance/2026-05-08-index.md	index	3. Personal\Personal Finance\Personal finance dashboard\dist\index.html	html	0.8	2026-05-08	[finance]	Keep
Areas/finance/2026-05-08-recharts-btd9jxd1.md	recharts BTD9JxD1	3. Personal\Personal Finance\Personal finance dashboard\dist\assets\recharts-BTD9JxD1.js	js	0.5	2026-05-08	[finance]	```js
Areas/finance/2026-05-08-xlsx-d-0l8yds.md	xlsx D 0l8YDs	3. Personal\Personal Finance\Personal finance dashboard\dist\assets\xlsx-D_0l8YDs.js	js	0.5	2026-05-08	[finance]	```js
Areas/finance/_index.md							# Finance — Index
Areas/personal/2020-02-27-2018-06-13-nachtje-door-halen.md	2018 06 13 Nachtje door halen	PERSONAL\Stories\Thomas\2018-06-13 Nachtje door halen.docx	docx	0.8	2020-02-27	[personal]	Nachtje op het strand
Areas/personal/2020-02-27-chapter-uno.md	Chapter uno	PERSONAL\Stories\Zomer\Chapter uno.docx	docx	0.8	2020-02-27	[personal]	Chapter uno
Areas/personal/2020-03-30-you.md	you	PERSONAL\Stories\Zomer\you.docx	docx	0.8	2020-03-30	[personal]	you
Areas/personal/2020-04-16-i-guess-this-is-my-life.md	I guess this is my life	PERSONAL\Stories\Thomas\I guess this is my life.docx	docx	0.8	2020-04-16	[personal]	The ugly of my life
Areas/personal/2020-04-30-spanje.md	Spanje	PERSONAL\Stories\Thomas\Spanje.docx	docx	0.8	2020-04-30	[personal]	Spanje, Sevilla
Areas/personal/2023-03-12-cv-thomas-tiemen-wielinga.md	CV Thomas Tiemen Wielinga	PERSONAL\Thomas\CV Thomas Tiemen Wielinga.pdf	pdf	0.8	2023-03-12	[personal]	PROFILE 
Areas/personal/2024-01-14-2024-01-14-cv-thomas-tiemen-wielinga.md	2024 01 14 CV Thomas Tiemen Wielinga	PERSONAL\Thomas\2024-01-14 CV Thomas Tiemen Wielinga.pdf	pdf	0.8	2024-01-14	[personal]	      Thomas Tiemen Wielinga 
Areas/personal/2024-01-24-2024-01-24-cv-thomas-tiemen-wielinga.md	2024 01 24 CV Thomas Tiemen Wielinga	PERSONAL\Thomas\2024-01-24 CV Thomas Tiemen Wielinga.pdf	pdf	0.8	2024-01-24	[personal]	      Thomas Tiemen Wielinga 
Areas/personal/2024-02-29-internship-selection-form-thomas-wielinga.md	Internship Selection form THOMAS WIELINGA	PERSONAL\Thomas\Internship Selection form THOMAS WIELINGA.docx	docx	0.8	2024-02-29	[personal]	Internship Selection form
Areas/personal/2024-04-23-internship-company-scan-thomas-wielinga.md	Internship  Company scan   THOMAS WIELINGA	PERSONAL\Thomas\Internship  Company scan - THOMAS WIELINGA.pdf	pdf	0.8	2024-04-23	[personal]	Name of student 
Areas/personal/2024-08-21-loonheffingen-thomas-wielinga.md	loonheffingen Thomas Wielinga	3. Personal\Aedes Performance\loonheffingen_Thomas_Wielinga.pdf	pdf	0.8	2024-08-21	[personal]	06 008 09 01
Areas/personal/2024-09-04-interview-guide.md	Interview Guide	3. Personal\ZUYD\BPI\Interview Guide.docx	docx	0.8	2024-09-04	[personal, meeting]	Interview Guide / Questions Per stakeholder
Areas/personal/2024-09-05-3-exhibit-b-handover-schedule-copy.md	3.  Exhibit B Handover Schedule copy	3. Personal\ZUYD\BPI\3.  Exhibit B Handover Schedule copy.PDF	pdf	0.8	2024-09-05	[personal]	EXHIBIT B
Areas/personal/2024-09-16-periodic-report-1-mng-internship-thomas-wielinga.md	Periodic Report 1 MNG internship   Thomas Wielinga	3. Personal\ZUYD\Periodic Report 1 MNG internship - Thomas Wielinga.docx	docx	0.8	2024-09-16	[personal]	1st and 2nd Periodic reports
Areas/personal/2024-09-24-the-5-phases-of-constructing-a-hotel-from-start-to-open.md	The 5 phases of constructing a hotel from start to open	3. Personal\ZUYD\The 5 phases of constructing a hotel from start to open.pdf	pdf	0.8	2024-09-24	[personal]	1. Concept
Areas/personal/2024-09-25-research-structure.md	Research Structure	3. Personal\ZUYD\BPI\Research Structure.docx	docx	0.8	2024-09-25	[personal, reference]	Part 1: Process Identification
Areas/personal/2024-10-09-toelichting-standaardtaakbeschrijving-2014-1.md	Toelichting Standaardtaakbeschrijving 2014 1	3. Personal\ZUYD\BPI\Toelichting Standaardtaakbeschrijving 2014 1.docx	docx	0.8	2024-10-09	[personal, contract]	Toelichting Standaardtaakbeschrijving 2014 1.1 Wat is een taak? Een ondeelbare hoeveelheid werk Een ‘taak’ is in de STB 
Areas/personal/2024-10-15-midterm-evaluation-company-mentor.md	Midterm Evaluation Company Mentor	3. Personal\ZUYD\EVALUATION\Midterm Evaluation Company Mentor.docx	docx	0.8	2024-10-15	[personal]	Evaluation form (mid-term and final evaluation)
Areas/personal/2024-10-15-midterm-evaluation-form.md	Midterm Evaluation form	3. Personal\ZUYD\EVALUATION\Midterm Evaluation form.docx	docx	0.8	2024-10-15	[personal]	Evaluation form (mid-term and final evaluation)
Areas/personal/2024-10-15-questions-bpi-interview.md	Questions BPI interview	3. Personal\ZUYD\Questions BPI interview.docx	docx	0.8	2024-10-15	[personal, meeting]	The following phases for hotel exploitation provide a clear overview for the to be interviewed stakeholders:
Areas/personal/2024-10-17-2024-10-17-cv-thomas-tiemen-wielinga.md	2024 10 17 CV Thomas Tiemen Wielinga	PERSONAL\Thomas\2024-10-17 CV Thomas Tiemen Wielinga.pdf	pdf	0.8	2024-10-17	[personal]	      Thomas Tiemen Wielinga 
Areas/personal/2024-10-17-2388-001.md	2388 001	3. Personal\ZUYD\EVALUATION\2388_001.pdf	pdf	0.8	2024-10-17	[personal]	Hotel Management
Areas/personal/2024-10-20-2024-10-18-cv-thomas-tiemen-wielinga.md	2024 10 18 CV Thomas Tiemen Wielinga	PERSONAL\Thomas\2024-10-18 CV Thomas Tiemen Wielinga.docx	docx	0.8	2024-10-20	[personal]	Thomas Wielinga
Areas/personal/2024-10-20-2024-10-20-cv-thomas-tiemen-wielinga.md	2024 10 20 CV Thomas Tiemen Wielinga	PERSONAL\Thomas\2024-10-20 CV Thomas Tiemen Wielinga.pdf	pdf	0.8	2024-10-20	[personal]	    Thomas Wielinga 
Areas/personal/2024-10-25-interviews-phase-2.md	Interviews Phase 2	3. Personal\ZUYD\BPI\Interviews Phase 2.docx	docx	0.8	2024-10-25	[personal, meeting]	Interviews Phase 2
Areas/personal/2024-10-28-mid-term-call-visit-guidelines-management-internship.md	Mid Term Call Visit guidelines   Management internship	3. Personal\ZUYD\EVALUATION\Mid Term Call-Visit guidelines - Management internship (update 022023).pdf	pdf	0.8	2024-10-28	[personal, meeting]	P a g e  1 | 3 
Areas/personal/2024-10-29-adc-project-review-approv-1305539433.md	adc project review approv 1305539433	3. Personal\ZUYD\BPI\VO Hilton\adc_project_review_approv_1305539433.pdf	pdf	0.8	2024-10-29	[personal, project]	
Areas/personal/2024-10-29-projectorganisatie-hilton.md	Projectorganisatie Hilton	3. Personal\ZUYD\BPI\VO Hilton\Projectorganisatie Hilton.pdf	pdf	0.8	2024-10-29	[personal, project]	Stacey Spooner
Areas/personal/2024-11-01-periodic-report-2-mng-internship-thomas-wielinga.md	Periodic Report 2 MNG internship   Thomas Wielinga	3. Personal\ZUYD\BPI\Periodic Report 2 MNG internship - Thomas Wielinga.docx	docx	0.8	2024-11-01	[personal]	1st and 2nd Periodic reports
Areas/personal/2024-11-11-v2-final-pr-2-mng-internship-thomas-wielinga.md	V2 Final P.R. 2 MNG internship   Thomas Wielinga	3. Personal\ZUYD\BPI\V2 Final P.R. 2 MNG internship - Thomas Wielinga.docx	docx	0.8	2024-11-11	[personal, archived]	1st and 2nd Periodic reports
Areas/personal/2024-11-29-rowin-20-09.md	Rowin 20 09	3. Personal\ZUYD\BPI\Interviews\Rowin 20-09.docx	docx	0.8	2024-11-29	[personal, meeting]	Rowin 20-09
Areas/personal/2024-12-03-management-internship-report-aedes.md	Management Internship Report Aedes	3. Personal\ZUYD\BPI\Management Internship Report Aedes.docx	docx	0.8	2024-12-03	[personal]	Management Internship Report Aedes
Areas/personal/2024-12-12-final-eval-thomas.md	Final EVAL Thomas	3. Personal\ZUYD\EVALUATION\Final EVAL Thomas.docx	docx	0.8	2024-12-12	[personal]	Evaluation form (mid-term and final evaluation)
Areas/personal/2024-12-12-final-management-internship-report-aedes.md	Final Management Internship Report Aedes	3. Personal\ZUYD\Final Version Reports\Final Management Internship Report Aedes.pdf	pdf	0.8	2024-12-12	[personal]	Creating an Internship with Heart and Soul 
Areas/personal/2024-12-12-final-version-bpi-x-aedes-thomas-wielinga.md	Final Version BPI x Aedes   Thomas Wielinga	3. Personal\ZUYD\Final Version Reports\Final Version BPI x Aedes - Thomas Wielinga.pdf	pdf	0.8	2024-12-12	[personal]	BPI in Action: Boosting Collaboration in the DNR VO Process Between Hospitality and 
Areas/personal/2024-12-13-aedes-final-eval.md	Aedes Final Eval	3. Personal\ZUYD\EVALUATION\Aedes Final Eval.pdf	pdf	0.8	2024-12-13	[personal]	Hotel Management
Areas/personal/2024-12-23-aedes-places-bv-arbeidsovereenkomst-bepaalde-tijd-twi.md	Aedes Places B.V.   Arbeidsovereenkomst bepaalde tijd TWI	3. Personal\ZUYD\EVALUATION\Aedes Places B.V. - Arbeidsovereenkomst bepaalde tijd TWI.pdf	pdf	0.8	2024-12-23	[personal]	ARBEIDSOVEREENKOMST VOOR BEPAALDE TIJD 
Areas/personal/2025-01-05-functieomschrijving-aedes-desired.md	Functieomschrijving Aedes desired	3. Personal\ZUYD\EVALUATION\Functieomschrijving Aedes desired.docx	docx	0.8	2025-01-05	[personal]	Ontwikkelingsmogelijkheden Aedes
Areas/personal/2025-01-06-bpi-presentation-notes.md	BPI   presentation notes	3. Personal\ZUYD\BPI\BPI - presentation notes.docx	docx	0.8	2025-01-06	[personal, idea]	Slide 1
Areas/personal/2025-01-06-joost-final-eval.md	Joost Final Eval	3. Personal\ZUYD\EVALUATION\Joost Final Eval.pdf	pdf	0.8	2025-01-06	[personal]	Hotel Management
Areas/personal/2025-01-07-new-vs-old-raci.md	NEW vs OLD RACI	3. Personal\ZUYD\BPI\NEW vs OLD RACI.docx	docx	0.8	2025-01-07	[personal, archived]	Old RACI
Areas/personal/2025-01-07-zelfevaluatieformulier-2024-thomas-wielinga.md	Zelfevaluatieformulier 2024   Thomas Wielinga	3. Personal\Aedes Performance\Zelfevaluatieformulier 2024 - Thomas Wielinga.docx	docx	0.8	2025-01-07	[personal]	ZELF EVALUATIEFORMULIER MEDEWERKER 2024
Areas/personal/2025-01-20-layout-pitch.md	Layout Pitch	3. Personal\ZUYD\Layout Pitch.docx	docx	0.8	2025-01-20	[personal]	Slide 1: Introduction
Areas/personal/2025-03-07-pg23-black-label-hospitality-advisory-report-202406.md	PG23 Black Label Hospitality advisory report 202406	3. Personal\ZUYD\BLACK LABEL\PG23-Black Label Hospitality advisory report-202406.pdf	pdf	0.8	2025-03-07	[personal]	How to navigating the German 
Areas/personal/2025-03-07-pg23-black-label-hospitality-research-report-202406.md	PG23 Black Label Hospitality research report 202406	3. Personal\ZUYD\BLACK LABEL\PG23-Black Label Hospitality research report-202406.pdf	pdf	0.8	2025-03-07	[personal, reference]	1 
Areas/personal/2025-03-17-ko-arthur-van-schendelstraat-197.md	ko Arthur van Schendelstraat 197	3. Personal\Arthur van Schendel\To Share Notaris\ko Arthur van Schendelstraat 197.pdf	pdf	0.8	2025-03-17	[personal]	Betreft: Arthur van Schendelstraat 197, 3511 MC Utrecht 
Areas/personal/2025-04-22-goal-setting-template.md	Goal Setting Template	3. Personal\ZUYD\Development\Goal_Setting_Template.docx	docx	0.8	2025-04-22	[personal, template]	# Goal Setting Template
Areas/personal/2025-05-06-daliochangingworldordercharts.md	DalioChangingWorldOrderCharts	3. Personal\Food for Thought\DalioChangingWorldOrderCharts.pdf	pdf	0.8	2025-05-06	[personal]	Principles for Dealing with 
Areas/personal/2025-05-06-the-changing-world-order-ray-dalio.md	The Changing World Order Ray Dalio	3. Personal\Food for Thought\The-Changing-World-Order_Ray-Dalio.pdf	pdf	0.8	2025-05-06	[personal]	
Areas/personal/2025-05-07-speech-voor-bregje.md	Speech voor Bregje	3. Personal\Speech voor Bregje.docx	docx	0.8	2025-05-07	[personal]	Speech voor Bregje’s 21-diner
