path	bucket	proposed_new_path	reason	confidence
Areas/personal/2020-04-30-spanje.md	daily-note	Daily/2020/04/2020-04-30-spanje.md	dated personal/journal	high
Areas/personal/2023-03-12-cv-thomas-tiemen-wielinga.md	daily-note	Daily/2023/03/2023-03-12-cv-thomas-tiemen-wielinga.md	dated personal/journal	high
Areas/personal/2024-01-14-2024-01-14-cv-thomas-tiemen-wielinga.md	daily-note	Daily/2024/01/2024-01-14-cv-thomas-tiemen-wielinga.md	dated personal/journal	high
Areas/personal/2024-01-24-2024-01-24-cv-thomas-tiemen-wielinga.md	daily-note	Daily/2024/01/2024-01-24-cv-thomas-tiemen-wielinga.md	dated personal/journal	high
Areas/personal/2024-02-29-internship-selection-form-thomas-wielinga.md	daily-note	Daily/2024/02/2024-02-29-internship-selection-form-thomas-wielinga.md	dated personal/journal	high
Areas/personal/2024-04-23-internship-company-scan-thomas-wielinga.md	daily-note	Daily/2024/04/2024-04-23-internship-company-scan-thomas-wielinga.md	dated personal/journal	high
Areas/personal/2024-08-21-loonheffingen-thomas-wielinga.md	daily-note	Daily/2024/08/2024-08-21-loonheffingen-thomas-wielinga.md	dated personal/journal	high
Areas/personal/2024-09-04-interview-guide.md	daily-note	Daily/2024/09/2024-09-04-interview-guide.md	dated personal/journal	high
Areas/personal/2024-09-05-3-exhibit-b-handover-schedule-copy.md	daily-note	Daily/2024/09/2024-09-05-3-exhibit-b-handover-schedule-copy.md	dated personal/journal	high
Areas/personal/2024-09-16-periodic-report-1-mng-internship-thomas-wielinga.md	daily-note	Daily/2024/09/2024-09-16-periodic-report-1-mng-internship-thomas-wielinga.md	dated personal/journal	high
Areas/personal/2024-09-24-the-5-phases-of-constructing-a-hotel-from-start-to-open.md	daily-note	Daily/2024/09/2024-09-24-the-5-phases-of-constructing-a-hotel-from-start-to-open.md	dated personal/journal	high
Areas/personal/2024-09-25-research-structure.md	daily-note	Daily/2024/09/2024-09-25-research-structure.md	dated personal/journal	high
Areas/personal/2024-10-09-toelichting-standaardtaakbeschrijving-2014-1.md	daily-note	Daily/2024/10/2024-10-09-toelichting-standaardtaakbeschrijving-2014-1.md	dated personal/journal	high
Areas/personal/2024-10-15-midterm-evaluation-company-mentor.md	daily-note	Daily/2024/10/2024-10-15-midterm-evaluation-company-mentor.md	dated personal/journal	high
Areas/personal/2024-10-15-midterm-evaluation-form.md	daily-note	Daily/2024/10/2024-10-15-midterm-evaluation-form.md	dated personal/journal	high
Areas/personal/2024-10-15-questions-bpi-interview.md	daily-note	Daily/2024/10/2024-10-15-questions-bpi-interview.md	dated personal/journal	high
Areas/personal/2024-10-17-2024-10-17-cv-thomas-tiemen-wielinga.md	daily-note	Daily/2024/10/2024-10-17-cv-thomas-tiemen-wielinga.md	dated personal/journal	high
Areas/personal/2024-10-17-2388-001.md	daily-note	Daily/2024/10/2024-10-17-2388-001.md	dated personal/journal	high
Areas/personal/2024-10-20-2024-10-18-cv-thomas-tiemen-wielinga.md	daily-note	Daily/2024/10/2024-10-20-2024-10-18-cv-thomas-tiemen-wielinga.md	dated personal/journal	high
Areas/personal/2024-10-20-2024-10-20-cv-thomas-tiemen-wielinga.md	daily-note	Daily/2024/10/2024-10-20-cv-thomas-tiemen-wielinga.md	dated personal/journal	high
Areas/personal/2024-10-25-interviews-phase-2.md	daily-note	Daily/2024/10/2024-10-25-interviews-phase-2.md	dated personal/journal	high
Areas/personal/2024-10-28-mid-term-call-visit-guidelines-management-internship.md	daily-note	Daily/2024/10/2024-10-28-mid-term-call-visit-guidelines-management-internship.md	dated personal/journal	high
Areas/personal/2024-10-29-adc-project-review-approv-1305539433.md	daily-note	Daily/2024/10/2024-10-29-adc-project-review-approv-1305539433.md	dated personal/journal	high
Areas/personal/2024-10-29-projectorganisatie-hilton.md	daily-note	Daily/2024/10/2024-10-29-projectorganisatie-hilton.md	dated personal/journal	high
Areas/personal/2024-11-01-periodic-report-2-mng-internship-thomas-wielinga.md	daily-note	Daily/2024/11/2024-11-01-periodic-report-2-mng-internship-thomas-wielinga.md	dated personal/journal	high
Areas/personal/2024-11-11-v2-final-pr-2-mng-internship-thomas-wielinga.md	daily-note	Daily/2024/11/2024-11-11-v2-final-pr-2-mng-internship-thomas-wielinga.md	dated personal/journal	high
Areas/personal/2024-11-29-rowin-20-09.md	daily-note	Daily/2024/11/2024-11-29-rowin-20-09.md	dated personal/journal	high
Areas/personal/2024-12-03-management-internship-report-aedes.md	daily-note	Daily/2024/12/2024-12-03-management-internship-report-aedes.md	dated personal/journal	high
Areas/personal/2024-12-12-final-eval-thomas.md	daily-note	Daily/2024/12/2024-12-12-final-eval-thomas.md	dated personal/journal	high
Areas/personal/2024-12-12-final-management-internship-report-aedes.md	daily-note	Daily/2024/12/2024-12-12-final-management-internship-report-aedes.md	dated personal/journal	high
Areas/personal/2024-12-12-final-version-bpi-x-aedes-thomas-wielinga.md	daily-note	Daily/2024/12/2024-12-12-final-version-bpi-x-aedes-thomas-wielinga.md	dated personal/journal	high
Areas/personal/2024-12-13-aedes-final-eval.md	daily-note	Daily/2024/12/2024-12-13-aedes-final-eval.md	dated personal/journal	high
Areas/personal/2024-12-23-aedes-places-bv-arbeidsovereenkomst-bepaalde-tijd-twi.md	daily-note	Daily/2024/12/2024-12-23-aedes-places-bv-arbeidsovereenkomst-bepaalde-tijd-twi.md	dated personal/journal	high
Areas/personal/2025-01-05-functieomschrijving-aedes-desired.md	daily-note	Daily/2025/01/2025-01-05-functieomschrijving-aedes-desired.md	dated personal/journal	high
Areas/personal/2025-01-06-bpi-presentation-notes.md	daily-note	Daily/2025/01/2025-01-06-bpi-presentation-notes.md	dated personal/journal	high
Areas/personal/2025-01-06-joost-final-eval.md	daily-note	Daily/2025/01/2025-01-06-joost-final-eval.md	dated personal/journal	high
Areas/personal/2025-01-07-new-vs-old-raci.md	daily-note	Daily/2025/01/2025-01-07-new-vs-old-raci.md	dated personal/journal	high
Areas/personal/2025-01-07-zelfevaluatieformulier-2024-thomas-wielinga.md	daily-note	Daily/2025/01/2025-01-07-zelfevaluatieformulier-2024-thomas-wielinga.md	dated personal/journal	high
Areas/personal/2025-01-20-layout-pitch.md	daily-note	Daily/2025/01/2025-01-20-layout-pitch.md	dated personal/journal	high
Areas/personal/2025-03-07-pg23-black-label-hospitality-advisory-report-202406.md	daily-note	Daily/2025/03/2025-03-07-pg23-black-label-hospitality-advisory-report-202406.md	dated personal/journal	high
Areas/personal/2025-03-07-pg23-black-label-hospitality-research-report-202406.md	daily-note	Daily/2025/03/2025-03-07-pg23-black-label-hospitality-research-report-202406.md	dated personal/journal	high
Areas/personal/2025-03-17-ko-arthur-van-schendelstraat-197.md	daily-note	Daily/2025/03/2025-03-17-ko-arthur-van-schendelstraat-197.md	dated personal/journal	high
Areas/personal/2025-04-22-goal-setting-template.md	daily-note	Daily/2025/04/2025-04-22-goal-setting-template.md	dated personal/journal	high
Areas/personal/2025-05-06-daliochangingworldordercharts.md	daily-note	Daily/2025/05/2025-05-06-daliochangingworldordercharts.md	dated personal/journal	high
Areas/personal/2025-05-06-the-changing-world-order-ray-dalio.md	daily-note	Daily/2025/05/2025-05-06-the-changing-world-order-ray-dalio.md	dated personal/journal	high
Areas/personal/2025-05-07-speech-voor-bregje.md	daily-note	Daily/2025/05/2025-05-07-speech-voor-bregje.md	dated personal/journal	high
Areas/personal/2025-05-07-vergunning-koopwoning-niet-zelf-gebruiken-vergunning.md	daily-note	Daily/2025/05/2025-05-07-vergunning-koopwoning-niet-zelf-gebruiken-vergunning.md	dated personal/journal	high
Areas/personal/2025-05-19-8-step-guide-to-becoming-a-prompt-engineer.md	daily-note	Daily/2025/05/2025-05-19-8-step-guide-to-becoming-a-prompt-engineer.md	dated personal/journal	high
Areas/personal/2025-05-20-akte-van-hypotheek-arthur-van-schendelstraat-197-utrecht.md	daily-note	Daily/2025/05/2025-05-20-akte-van-hypotheek-arthur-van-schendelstraat-197-utrecht.md	dated personal/journal	high
Areas/personal/2025-05-20-akte-van-levering-arthur-van-schendelstraat-197-utrecht.md	daily-note	Daily/2025/05/2025-05-20-akte-van-levering-arthur-van-schendelstraat-197-utrecht.md	dated personal/journal	high
Areas/personal/2025-06-17-besluit-op-aanvraag-verhuurdervergunning-opkoopbescherming.md	daily-note	Daily/2025/06/2025-06-17-besluit-op-aanvraag-verhuurdervergunning-opkoopbescherming.md	dated personal/journal	high
Areas/personal/2025-06-18-chardonnay-presentation-speaker-notes.md	daily-note	Daily/2025/06/2025-06-18-chardonnay-presentation-speaker-notes.md	dated personal/journal	high
Areas/personal/2025-06-18-chardonnay-presentation.md	daily-note	Daily/2025/06/2025-06-18-chardonnay-presentation.md	dated personal/journal	high
Areas/personal/2025-06-20-chardonnay-presentation.md	daily-note	Daily/2025/06/2025-06-20-chardonnay-presentation.md	dated personal/journal	high
Areas/personal/2025-07-10-reactie-op-hospitavergunning-bezwaar.md	daily-note	Daily/2025/07/2025-07-10-reactie-op-hospitavergunning-bezwaar.md	dated personal/journal	high
Areas/personal/2025-07-23-v2-how-sam-parr-uses-chatgpt-as-executive-coach-mfm.md	daily-note	Daily/2025/07/2025-07-23-v2-how-sam-parr-uses-chatgpt-as-executive-coach-mfm.md	dated personal/journal	high
Areas/personal/2025-08-30-0001991-poslpro-1.md	daily-note	Daily/2025/08/2025-08-30-0001991-poslpro-1.md	dated personal/journal	high
Areas/personal/2025-08-31-0000737-poslpro-1.md	daily-note	Daily/2025/08/2025-08-31-0000737-poslpro-1.md	dated personal/journal	high
Areas/personal/2025-08-31-0001843-poslpro-42.md	daily-note	Daily/2025/08/2025-08-31-0001843-poslpro-42.md	dated personal/journal	high
Areas/personal/2025-09-01-0001701-poslpro-1.md	daily-note	Daily/2025/09/2025-09-01-0001701-poslpro-1.md	dated personal/journal	high
Areas/personal/2025-09-01-adobe-scan-1-sep-2025.md	daily-note	Daily/2025/09/2025-09-01-adobe-scan-1-sep-2025.md	dated personal/journal	high
Areas/personal/2025-09-01-adobe-scan-31-aug-2025.md	daily-note	Daily/2025/09/2025-09-01-adobe-scan-31-aug-2025.md	dated personal/journal	high
Areas/personal/2025-09-01-nl69ingb0702242209-2025-09-01-2025-09-01-2.md	daily-note	Daily/2025/09/2025-09-01-nl69ingb0702242209-2025-09-01-2025-09-01-2.md	dated personal/journal	high
Areas/personal/2025-09-01-nl69ingb0702242209-2025-09-01-2025-09-01.md	daily-note	Daily/2025/09/2025-09-01-nl69ingb0702242209-2025-09-01-2025-09-01.md	dated personal/journal	high
Areas/personal/2025-09-01-reimbursment-claim-canceled-flight-dbv-ams-30-08.md	daily-note	Daily/2025/09/2025-09-01-reimbursment-claim-canceled-flight-dbv-ams-30-08.md	dated personal/journal	high
Areas/personal/2025-09-12-st-core-growth.md	daily-note	Daily/2025/09/2025-09-12-st-core-growth.md	dated personal/journal	high
Areas/personal/2025-09-14-st-core-growth-sophia.md	daily-note	Daily/2025/09/2025-09-14-st-core-growth-sophia.md	dated personal/journal	high
Areas/personal/2025-09-18-a-panic-attack-on-the-way-to-paradise.md	daily-note	Daily/2025/09/2025-09-18-a-panic-attack-on-the-way-to-paradise.md	dated personal/journal	high
Areas/personal/2025-09-24-100m-leads-by-alex-hormozi-20231222143136.md	daily-note	Daily/2025/09/2025-09-24-100m-leads-by-alex-hormozi-20231222143136.md	dated personal/journal	high
Areas/personal/2025-09-24-affiliate-black-book-100m-money-models.md	daily-note	Daily/2025/09/2025-09-24-affiliate-black-book-100m-money-models.md	dated personal/journal	high
Areas/personal/2025-09-24-the-new-secret-chapter-how-to-make-money.md	daily-note	Daily/2025/09/2025-09-24-the-new-secret-chapter-how-to-make-money.md	dated personal/journal	high
Areas/personal/2025-09-25-100m-journal.md	daily-note	Daily/2025/09/2025-09-25-100m-journal.md	dated personal/journal	high
Areas/personal/2025-09-26-everythings-going-right-so-why-do-i-feel-restless.md	daily-note	Daily/2025/09/2025-09-26-everythings-going-right-so-why-do-i-feel-restless.md	dated personal/journal	high
Areas/personal/2025-09-26-how-efficient-consistency-beats-perfectionism-every-time.md	daily-note	Daily/2025/09/2025-09-26-how-efficient-consistency-beats-perfectionism-every-time.md	dated personal/journal	high
Areas/personal/2025-09-26-those-fleeting-glimpses.md	daily-note	Daily/2025/09/2025-09-26-those-fleeting-glimpses.md	dated personal/journal	high
Areas/personal/2025-10-17-cpb-keuzes-in-kaart-2027-2030.md	daily-note	Daily/2025/10/2025-10-17-cpb-keuzes-in-kaart-2027-2030.md	dated personal/journal	high
Areas/personal/2025-10-18-anwsers-ts-thomas.md	daily-note	Daily/2025/10/2025-10-18-anwsers-ts-thomas.md	dated personal/journal	high
Areas/personal/2025-10-18-the-aligned-couple.md	daily-note	Daily/2025/10/2025-10-18-the-aligned-couple.md	dated personal/journal	high
Areas/personal/2025-10-24-ai-consulting-strategy-to-25k-mo-2026-stepbystep-playbook.md	daily-note	Daily/2025/10/2025-10-24-ai-consulting-strategy-to-25k-mo-2026-stepbystep-playbook.md	dated personal/journal	high
Areas/personal/2025-11-03-tickets.md	daily-note	Daily/2025/11/2025-11-03-tickets.md	dated personal/journal	high
Areas/personal/2025-11-09-grammarly.md	daily-note	Daily/2025/11/2025-11-09-grammarly.md	dated personal/journal	high
Areas/personal/2026-02-10-barefootshoesresearch.md	daily-note	Daily/2026/02/2026-02-10-barefootshoesresearch.md	dated personal/journal	high
Areas/personal/2026-02-17-project-hawkeye-may-22-moelis-company.md	daily-note	Daily/2026/02/2026-02-17-project-hawkeye-may-22-moelis-company.md	dated personal/journal	high
Areas/personal/2026-02-17-project-overdrive-nov-18-goldman-sachs.md	daily-note	Daily/2026/02/2026-02-17-project-overdrive-nov-18-goldman-sachs.md	dated personal/journal	high
Areas/personal/2026-02-17-project-overdrive-oct-18-goldman-sachs.md	daily-note	Daily/2026/02/2026-02-17-project-overdrive-oct-18-goldman-sachs.md	dated personal/journal	high
Areas/personal/2026-02-17-project-world-jan-24-jefferies.md	daily-note	Daily/2026/02/2026-02-17-project-world-jan-24-jefferies.md	dated personal/journal	high
Areas/personal/2026-02-17-project-world-oct-23-jefferies.md	daily-note	Daily/2026/02/2026-02-17-project-world-oct-23-jefferies.md	dated personal/journal	high
Areas/personal/2026-03-05-performance-review-2025-2026-twi.md	daily-note	Daily/2026/03/2026-03-05-performance-review-2025-2026-twi.md	dated personal/journal	high
Areas/personal/2026-03-09-lieve-thomas.md	daily-note	Daily/2026/03/2026-03-09-lieve-thomas.md	dated personal/journal	high
Areas/personal/2026-03-09-performance-review-notes.md	daily-note	Daily/2026/03/2026-03-09-performance-review-notes.md	dated personal/journal	high
Areas/personal/2026-03-29-aanslag-gemeentelijke-belastingen-en-of-waterschap.md	daily-note	Daily/2026/03/2026-03-29-aanslag-gemeentelijke-belastingen-en-of-waterschap.md	dated personal/journal	high
Areas/personal/2026-03-29-taxatieverslag-034400122554-2025.md	daily-note	Daily/2026/03/2026-03-29-taxatieverslag-034400122554-2025.md	dated personal/journal	high
Areas/personal/2026-04-01-bezwaarschrift-woz-avs197-2025.md	daily-note	Daily/2026/04/2026-04-01-bezwaarschrift-woz-avs197-2025.md	dated personal/journal	high
Areas/personal/2026-04-03-utrecht-marathon-training-plan.md	daily-note	Daily/2026/04/2026-04-03-utrecht-marathon-training-plan.md	dated personal/journal	high
