src	dst	status	notes
Areas/finance/2026-04-25-finance-backup-2026-04-25.md	Archive/Junk/web-code-artifacts/2026-04-25-finance-backup-2026-04-25.md	failed	Method invocation failed because [System.IO.Path] does not contain a method named 'GetRelativePath'.
Areas/finance/2026-04-28-from-2026-04-08-to-2026-04-28-mtc3nzm4oda3ndczng.md	Areas/Personal Finance/Journal/2026/04/2026-04-28-from-2026-04-08-to-2026-04-28-mtc3nzm4oda3ndczng.md	failed	Method invocation failed because [System.IO.Path] does not contain a method named 'GetRelativePath'.
Areas/finance/2026-04-30-docsportfolio-overhaul-planmd-portfolio-overhaul.md	Areas/Personal Finance/Journal/2026/04/2026-04-30-docsportfolio-overhaul-planmd-portfolio-overhaul.md	failed	Method invocation failed because [System.IO.Path] does not contain a method named 'GetRelativePath'.
Areas/finance/2026-04-30-package.md	Archive/Junk/web-code-artifacts/2026-04-30-package.md	failed	Method invocation failed because [System.IO.Path] does not contain a method named 'GetRelativePath'.
Areas/finance/2026-04-30-portfolio-overhaul-test-report.md	Areas/Personal Finance/Journal/2026/04/2026-04-30-portfolio-overhaul-test-report.md	failed	Method invocation failed because [System.IO.Path] does not contain a method named 'GetRelativePath'.
Areas/finance/2026-04-30-prd-portfolio-feature-overhaul.md	Areas/Personal Finance/Journal/2026/04/2026-04-30-prd-portfolio-feature-overhaul.md	failed	Method invocation failed because [System.IO.Path] does not contain a method named 'GetRelativePath'.
Areas/finance/2026-04-30-settingslocal.md	Archive/Junk/web-code-artifacts/2026-04-30-settingslocal.md	failed	Method invocation failed because [System.IO.Path] does not contain a method named 'GetRelativePath'.
Areas/finance/2026-05-06-chrome.md	Archive/Junk/web-code-artifacts/2026-05-06-chrome.md	failed	Method invocation failed because [System.IO.Path] does not contain a method named 'GetRelativePath'.
Areas/finance/2026-05-06-dashboard-ui-kit.md	Areas/Personal Finance/Journal/2026/05/2026-05-06-dashboard-ui-kit.md	failed	Method invocation failed because [System.IO.Path] does not contain a method named 'GetRelativePath'.
Areas/finance/2026-05-06-extrascreens.md	Archive/Junk/web-code-artifacts/2026-05-06-extrascreens.md	failed	Method invocation failed because [System.IO.Path] does not contain a method named 'GetRelativePath'.
Areas/finance/2026-05-06-icon.md	Archive/Junk/web-code-artifacts/2026-05-06-icon.md	failed	Method invocation failed because [System.IO.Path] does not contain a method named 'GetRelativePath'.
Areas/finance/2026-05-06-index.md	Areas/Personal Finance/Journal/2026/05/2026-05-06-index.md	failed	Method invocation failed because [System.IO.Path] does not contain a method named 'GetRelativePath'.
Areas/finance/2026-05-06-kit.md	Archive/Junk/web-code-artifacts/2026-05-06-kit.md	failed	Method invocation failed because [System.IO.Path] does not contain a method named 'GetRelativePath'.
Areas/finance/2026-05-06-overlays.md	Archive/Junk/web-code-artifacts/2026-05-06-overlays.md	failed	Method invocation failed because [System.IO.Path] does not contain a method named 'GetRelativePath'.
Areas/finance/2026-05-06-screens.md	Archive/Junk/web-code-artifacts/2026-05-06-screens.md	failed	Method invocation failed because [System.IO.Path] does not contain a method named 'GetRelativePath'.
Areas/finance/2026-05-06-viteconfig.md	Archive/Junk/web-code-artifacts/2026-05-06-viteconfig.md	failed	Method invocation failed because [System.IO.Path] does not contain a method named 'GetRelativePath'.
Areas/finance/2026-05-07-claudemd.md	Areas/Personal Finance/Journal/2026/05/2026-05-07-claudemd.md	failed	Method invocation failed because [System.IO.Path] does not contain a method named 'GetRelativePath'.
Areas/finance/2026-05-07-component-specs-keep-dashboard.md	Areas/Personal Finance/Journal/2026/05/2026-05-07-component-specs-keep-dashboard.md	failed	Method invocation failed because [System.IO.Path] does not contain a method named 'GetRelativePath'.
Areas/finance/2026-05-07-eslintconfig.md	Archive/Junk/web-code-artifacts/2026-05-07-eslintconfig.md	failed	Method invocation failed because [System.IO.Path] does not contain a method named 'GetRelativePath'.
Areas/finance/2026-05-07-handoff-verification-checklist.md	Areas/Personal Finance/Journal/2026/05/2026-05-07-handoff-verification-checklist.md	failed	Method invocation failed because [System.IO.Path] does not contain a method named 'GetRelativePath'.
Areas/finance/2026-05-07-index.md	Areas/Personal Finance/Journal/2026/05/2026-05-07-index.md	failed	Method invocation failed because [System.IO.Path] does not contain a method named 'GetRelativePath'.
Areas/finance/2026-05-07-launch.md	Archive/Junk/web-code-artifacts/2026-05-07-launch.md	failed	Method invocation failed because [System.IO.Path] does not contain a method named 'GetRelativePath'.
Areas/finance/2026-05-07-package-lock.md	Archive/Junk/web-code-artifacts/2026-05-07-package-lock.md	failed	Method invocation failed because [System.IO.Path] does not contain a method named 'GetRelativePath'.
Areas/finance/2026-05-07-personal-finance-dashboard.md	Areas/Personal Finance/Journal/2026/05/2026-05-07-personal-finance-dashboard.md	failed	Method invocation failed because [System.IO.Path] does not contain a method named 'GetRelativePath'.
Areas/finance/2026-05-07-screen-acceptance-keep-dashboard.md	Areas/Personal Finance/Journal/2026/05/2026-05-07-screen-acceptance-keep-dashboard.md	failed	Method invocation failed because [System.IO.Path] does not contain a method named 'GetRelativePath'.
Areas/finance/2026-05-08-chart-vendor-doy70yrx.md	Archive/Junk/dev-artifacts/2026-05-08-chart-vendor-doy70yrx.md	failed	Method invocation failed because [System.IO.Path] does not contain a method named 'GetRelativePath'.
Areas/finance/2026-05-08-index-cgldgdip.md	Archive/Junk/dev-artifacts/2026-05-08-index-cgldgdip.md	failed	Method invocation failed because [System.IO.Path] does not contain a method named 'GetRelativePath'.
Areas/finance/2026-05-08-index-csi9tfv7.md	Archive/Junk/dev-artifacts/2026-05-08-index-csi9tfv7.md	failed	Method invocation failed because [System.IO.Path] does not contain a method named 'GetRelativePath'.
Areas/finance/2026-05-08-index.md	Archive/Junk/dev-artifacts/2026-05-08-index.md	failed	Method invocation failed because [System.IO.Path] does not contain a method named 'GetRelativePath'.
Areas/finance/2026-05-08-recharts-btd9jxd1.md	Archive/Junk/dev-artifacts/2026-05-08-recharts-btd9jxd1.md	failed	Method invocation failed because [System.IO.Path] does not contain a method named 'GetRelativePath'.
Areas/finance/2026-05-08-xlsx-d-0l8yds.md	Archive/Junk/dev-artifacts/2026-05-08-xlsx-d-0l8yds.md	failed	Method invocation failed because [System.IO.Path] does not contain a method named 'GetRelativePath'.
Areas/personal/2020-02-27-2018-06-13-nachtje-door-halen.md	Daily/2020/02/2020-02-27-2018-06-13-nachtje-door-halen.md	failed	Method invocation failed because [System.IO.Path] does not contain a method named 'GetRelativePath'.
Areas/personal/2020-02-27-chapter-uno.md	Daily/2020/02/2020-02-27-chapter-uno.md	failed	Method invocation failed because [System.IO.Path] does not contain a method named 'GetRelativePath'.
Areas/personal/2020-03-30-you.md	Daily/2020/03/2020-03-30-you.md	failed	Method invocation failed because [System.IO.Path] does not contain a method named 'GetRelativePath'.
Areas/personal/2020-04-16-i-guess-this-is-my-life.md	Daily/2020/04/2020-04-16-i-guess-this-is-my-life.md	failed	Method invocation failed because [System.IO.Path] does not contain a method named 'GetRelativePath'.
Areas/personal/2020-04-30-spanje.md	Daily/2020/04/2020-04-30-spanje.md	failed	Method invocation failed because [System.IO.Path] does not contain a method named 'GetRelativePath'.
Areas/personal/2023-03-12-cv-thomas-tiemen-wielinga.md	Daily/2023/03/2023-03-12-cv-thomas-tiemen-wielinga.md	failed	Method invocation failed because [System.IO.Path] does not contain a method named 'GetRelativePath'.
Areas/personal/2024-01-14-2024-01-14-cv-thomas-tiemen-wielinga.md	Daily/2024/01/2024-01-14-cv-thomas-tiemen-wielinga.md	failed	Method invocation failed because [System.IO.Path] does not contain a method named 'GetRelativePath'.
Areas/personal/2024-01-24-2024-01-24-cv-thomas-tiemen-wielinga.md	Daily/2024/01/2024-01-24-cv-thomas-tiemen-wielinga.md	failed	Method invocation failed because [System.IO.Path] does not contain a method named 'GetRelativePath'.
Areas/personal/2024-02-29-internship-selection-form-thomas-wielinga.md	Daily/2024/02/2024-02-29-internship-selection-form-thomas-wielinga.md	failed	Method invocation failed because [System.IO.Path] does not contain a method named 'GetRelativePath'.
Areas/personal/2024-04-23-internship-company-scan-thomas-wielinga.md	Daily/2024/04/2024-04-23-internship-company-scan-thomas-wielinga.md	failed	Method invocation failed because [System.IO.Path] does not contain a method named 'GetRelativePath'.
Areas/personal/2024-08-21-loonheffingen-thomas-wielinga.md	Daily/2024/08/2024-08-21-loonheffingen-thomas-wielinga.md	failed	Method invocation failed because [System.IO.Path] does not contain a method named 'GetRelativePath'.
Areas/personal/2024-09-04-interview-guide.md	Daily/2024/09/2024-09-04-interview-guide.md	failed	Method invocation failed because [System.IO.Path] does not contain a method named 'GetRelativePath'.
Areas/personal/2024-09-05-3-exhibit-b-handover-schedule-copy.md	Daily/2024/09/2024-09-05-3-exhibit-b-handover-schedule-copy.md	failed	Method invocation failed because [System.IO.Path] does not contain a method named 'GetRelativePath'.
Areas/personal/2024-09-16-periodic-report-1-mng-internship-thomas-wielinga.md	Daily/2024/09/2024-09-16-periodic-report-1-mng-internship-thomas-wielinga.md	failed	Method invocation failed because [System.IO.Path] does not contain a method named 'GetRelativePath'.
Areas/personal/2024-09-24-the-5-phases-of-constructing-a-hotel-from-start-to-open.md	Daily/2024/09/2024-09-24-the-5-phases-of-constructing-a-hotel-from-start-to-open.md	failed	Method invocation failed because [System.IO.Path] does not contain a method named 'GetRelativePath'.
Areas/personal/2024-09-25-research-structure.md	Daily/2024/09/2024-09-25-research-structure.md	failed	Method invocation failed because [System.IO.Path] does not contain a method named 'GetRelativePath'.
Areas/personal/2024-10-09-toelichting-standaardtaakbeschrijving-2014-1.md	Daily/2024/10/2024-10-09-toelichting-standaardtaakbeschrijving-2014-1.md	failed	Method invocation failed because [System.IO.Path] does not contain a method named 'GetRelativePath'.
Areas/personal/2024-10-15-midterm-evaluation-company-mentor.md	Daily/2024/10/2024-10-15-midterm-evaluation-company-mentor.md	failed	Method invocation failed because [System.IO.Path] does not contain a method named 'GetRelativePath'.
Areas/personal/2024-10-15-midterm-evaluation-form.md	Daily/2024/10/2024-10-15-midterm-evaluation-form.md	failed	Method invocation failed because [System.IO.Path] does not contain a method named 'GetRelativePath'.
Areas/personal/2024-10-15-questions-bpi-interview.md	Daily/2024/10/2024-10-15-questions-bpi-interview.md	failed	Method invocation failed because [System.IO.Path] does not contain a method named 'GetRelativePath'.
Areas/personal/2024-10-17-2024-10-17-cv-thomas-tiemen-wielinga.md	Daily/2024/10/2024-10-17-cv-thomas-tiemen-wielinga.md	failed	Method invocation failed because [System.IO.Path] does not contain a method named 'GetRelativePath'.
Areas/personal/2024-10-17-2388-001.md	Daily/2024/10/2024-10-17-2388-001.md	failed	Method invocation failed because [System.IO.Path] does not contain a method named 'GetRelativePath'.
Areas/personal/2024-10-20-2024-10-18-cv-thomas-tiemen-wielinga.md	Daily/2024/10/2024-10-20-2024-10-18-cv-thomas-tiemen-wielinga.md	failed	Method invocation failed because [System.IO.Path] does not contain a method named 'GetRelativePath'.
Areas/personal/2024-10-20-2024-10-20-cv-thomas-tiemen-wielinga.md	Daily/2024/10/2024-10-20-cv-thomas-tiemen-wielinga.md	failed	Method invocation failed because [System.IO.Path] does not contain a method named 'GetRelativePath'.
Areas/personal/2024-10-25-interviews-phase-2.md	Daily/2024/10/2024-10-25-interviews-phase-2.md	failed	Method invocation failed because [System.IO.Path] does not contain a method named 'GetRelativePath'.
Areas/personal/2024-10-28-mid-term-call-visit-guidelines-management-internship.md	Daily/2024/10/2024-10-28-mid-term-call-visit-guidelines-management-internship.md	failed	Method invocation failed because [System.IO.Path] does not contain a method named 'GetRelativePath'.
Areas/personal/2024-10-29-adc-project-review-approv-1305539433.md	Daily/2024/10/2024-10-29-adc-project-review-approv-1305539433.md	failed	Method invocation failed because [System.IO.Path] does not contain a method named 'GetRelativePath'.
Areas/personal/2024-10-29-projectorganisatie-hilton.md	Daily/2024/10/2024-10-29-projectorganisatie-hilton.md	failed	Method invocation failed because [System.IO.Path] does not contain a method named 'GetRelativePath'.
Areas/personal/2024-11-01-periodic-report-2-mng-internship-thomas-wielinga.md	Daily/2024/11/2024-11-01-periodic-report-2-mng-internship-thomas-wielinga.md	failed	Method invocation failed because [System.IO.Path] does not contain a method named 'GetRelativePath'.
Areas/personal/2024-11-11-v2-final-pr-2-mng-internship-thomas-wielinga.md	Daily/2024/11/2024-11-11-v2-final-pr-2-mng-internship-thomas-wielinga.md	failed	Method invocation failed because [System.IO.Path] does not contain a method named 'GetRelativePath'.
Areas/personal/2024-11-29-rowin-20-09.md	Daily/2024/11/2024-11-29-rowin-20-09.md	failed	Method invocation failed because [System.IO.Path] does not contain a method named 'GetRelativePath'.
Areas/personal/2024-12-03-management-internship-report-aedes.md	Daily/2024/12/2024-12-03-management-internship-report-aedes.md	failed	Method invocation failed because [System.IO.Path] does not contain a method named 'GetRelativePath'.
Areas/personal/2024-12-12-final-eval-thomas.md	Daily/2024/12/2024-12-12-final-eval-thomas.md	failed	Method invocation failed because [System.IO.Path] does not contain a method named 'GetRelativePath'.
Areas/personal/2024-12-12-final-management-internship-report-aedes.md	Daily/2024/12/2024-12-12-final-management-internship-report-aedes.md	failed	Method invocation failed because [System.IO.Path] does not contain a method named 'GetRelativePath'.
Areas/personal/2024-12-12-final-version-bpi-x-aedes-thomas-wielinga.md	Daily/2024/12/2024-12-12-final-version-bpi-x-aedes-thomas-wielinga.md	failed	Method invocation failed because [System.IO.Path] does not contain a method named 'GetRelativePath'.
Areas/personal/2024-12-13-aedes-final-eval.md	Daily/2024/12/2024-12-13-aedes-final-eval.md	failed	Method invocation failed because [System.IO.Path] does not contain a method named 'GetRelativePath'.
Areas/personal/2024-12-23-aedes-places-bv-arbeidsovereenkomst-bepaalde-tijd-twi.md	Daily/2024/12/2024-12-23-aedes-places-bv-arbeidsovereenkomst-bepaalde-tijd-twi.md	failed	Method invocation failed because [System.IO.Path] does not contain a method named 'GetRelativePath'.
Areas/personal/2025-01-05-functieomschrijving-aedes-desired.md	Daily/2025/01/2025-01-05-functieomschrijving-aedes-desired.md	failed	Method invocation failed because [System.IO.Path] does not contain a method named 'GetRelativePath'.
Areas/personal/2025-01-06-bpi-presentation-notes.md	Daily/2025/01/2025-01-06-bpi-presentation-notes.md	failed	Method invocation failed because [System.IO.Path] does not contain a method named 'GetRelativePath'.
Areas/personal/2025-01-06-joost-final-eval.md	Daily/2025/01/2025-01-06-joost-final-eval.md	failed	Method invocation failed because [System.IO.Path] does not contain a method named 'GetRelativePath'.
Areas/personal/2025-01-07-new-vs-old-raci.md	Daily/2025/01/2025-01-07-new-vs-old-raci.md	failed	Method invocation failed because [System.IO.Path] does not contain a method named 'GetRelativePath'.
Areas/personal/2025-01-07-zelfevaluatieformulier-2024-thomas-wielinga.md	Daily/2025/01/2025-01-07-zelfevaluatieformulier-2024-thomas-wielinga.md	failed	Method invocation failed because [System.IO.Path] does not contain a method named 'GetRelativePath'.
Areas/personal/2025-01-20-layout-pitch.md	Daily/2025/01/2025-01-20-layout-pitch.md	failed	Method invocation failed because [System.IO.Path] does not contain a method named 'GetRelativePath'.
Areas/personal/2025-03-07-pg23-black-label-hospitality-advisory-report-202406.md	Daily/2025/03/2025-03-07-pg23-black-label-hospitality-advisory-report-202406.md	failed	Method invocation failed because [System.IO.Path] does not contain a method named 'GetRelativePath'.
Areas/personal/2025-03-07-pg23-black-label-hospitality-research-report-202406.md	Daily/2025/03/2025-03-07-pg23-black-label-hospitality-research-report-202406.md	failed	Method invocation failed because [System.IO.Path] does not contain a method named 'GetRelativePath'.
Areas/personal/2025-03-17-ko-arthur-van-schendelstraat-197.md	Daily/2025/03/2025-03-17-ko-arthur-van-schendelstraat-197.md	failed	Method invocation failed because [System.IO.Path] does not contain a method named 'GetRelativePath'.
Areas/personal/2025-04-22-goal-setting-template.md	Daily/2025/04/2025-04-22-goal-setting-template.md	failed	Method invocation failed because [System.IO.Path] does not contain a method named 'GetRelativePath'.
Areas/personal/2025-05-06-daliochangingworldordercharts.md	Daily/2025/05/2025-05-06-daliochangingworldordercharts.md	failed	Method invocation failed because [System.IO.Path] does not contain a method named 'GetRelativePath'.
Areas/personal/2025-05-06-the-changing-world-order-ray-dalio.md	Daily/2025/05/2025-05-06-the-changing-world-order-ray-dalio.md	failed	Method invocation failed because [System.IO.Path] does not contain a method named 'GetRelativePath'.
Areas/personal/2025-05-07-speech-voor-bregje.md	Daily/2025/05/2025-05-07-speech-voor-bregje.md	failed	Method invocation failed because [System.IO.Path] does not contain a method named 'GetRelativePath'.
Areas/personal/2025-05-07-vergunning-koopwoning-niet-zelf-gebruiken-vergunning.md	Daily/2025/05/2025-05-07-vergunning-koopwoning-niet-zelf-gebruiken-vergunning.md	failed	Method invocation failed because [System.IO.Path] does not contain a method named 'GetRelativePath'.
Areas/personal/2025-05-19-8-step-guide-to-becoming-a-prompt-engineer.md	Daily/2025/05/2025-05-19-8-step-guide-to-becoming-a-prompt-engineer.md	failed	Method invocation failed because [System.IO.Path] does not contain a method named 'GetRelativePath'.
Areas/personal/2025-05-20-akte-van-hypotheek-arthur-van-schendelstraat-197-utrecht.md	Daily/2025/05/2025-05-20-akte-van-hypotheek-arthur-van-schendelstraat-197-utrecht.md	failed	Method invocation failed because [System.IO.Path] does not contain a method named 'GetRelativePath'.
Areas/personal/2025-05-20-akte-van-levering-arthur-van-schendelstraat-197-utrecht.md	Daily/2025/05/2025-05-20-akte-van-levering-arthur-van-schendelstraat-197-utrecht.md	failed	Method invocation failed because [System.IO.Path] does not contain a method named 'GetRelativePath'.
Areas/personal/2025-06-17-besluit-op-aanvraag-verhuurdervergunning-opkoopbescherming.md	Daily/2025/06/2025-06-17-besluit-op-aanvraag-verhuurdervergunning-opkoopbescherming.md	failed	Method invocation failed because [System.IO.Path] does not contain a method named 'GetRelativePath'.
Areas/personal/2025-06-18-chardonnay-presentation-speaker-notes.md	Daily/2025/06/2025-06-18-chardonnay-presentation-speaker-notes.md	failed	Method invocation failed because [System.IO.Path] does not contain a method named 'GetRelativePath'.
Areas/personal/2025-06-18-chardonnay-presentation.md	Daily/2025/06/2025-06-18-chardonnay-presentation.md	failed	Method invocation failed because [System.IO.Path] does not contain a method named 'GetRelativePath'.
Areas/personal/2025-06-20-chardonnay-presentation.md	Daily/2025/06/2025-06-20-chardonnay-presentation.md	failed	Method invocation failed because [System.IO.Path] does not contain a method named 'GetRelativePath'.
Areas/personal/2025-07-10-reactie-op-hospitavergunning-bezwaar.md	Daily/2025/07/2025-07-10-reactie-op-hospitavergunning-bezwaar.md	failed	Method invocation failed because [System.IO.Path] does not contain a method named 'GetRelativePath'.
Areas/personal/2025-07-23-v2-how-sam-parr-uses-chatgpt-as-executive-coach-mfm.md	Daily/2025/07/2025-07-23-v2-how-sam-parr-uses-chatgpt-as-executive-coach-mfm.md	failed	Method invocation failed because [System.IO.Path] does not contain a method named 'GetRelativePath'.
Areas/personal/2025-08-30-0001991-poslpro-1.md	Daily/2025/08/2025-08-30-0001991-poslpro-1.md	failed	Method invocation failed because [System.IO.Path] does not contain a method named 'GetRelativePath'.
Areas/personal/2025-08-31-0000737-poslpro-1.md	Daily/2025/08/2025-08-31-0000737-poslpro-1.md	failed	Method invocation failed because [System.IO.Path] does not contain a method named 'GetRelativePath'.
Areas/personal/2025-08-31-0001843-poslpro-42.md	Daily/2025/08/2025-08-31-0001843-poslpro-42.md	failed	Method invocation failed because [System.IO.Path] does not contain a method named 'GetRelativePath'.
Areas/personal/2025-09-01-0001701-poslpro-1.md	Daily/2025/09/2025-09-01-0001701-poslpro-1.md	failed	Method invocation failed because [System.IO.Path] does not contain a method named 'GetRelativePath'.
Areas/personal/2025-09-01-adobe-scan-1-sep-2025.md	Daily/2025/09/2025-09-01-adobe-scan-1-sep-2025.md	failed	Method invocation failed because [System.IO.Path] does not contain a method named 'GetRelativePath'.
Areas/personal/2025-09-01-adobe-scan-31-aug-2025.md	Daily/2025/09/2025-09-01-adobe-scan-31-aug-2025.md	failed	Method invocation failed because [System.IO.Path] does not contain a method named 'GetRelativePath'.
Areas/personal/2025-09-01-nl69ingb0702242209-2025-09-01-2025-09-01-2.md	Daily/2025/09/2025-09-01-nl69ingb0702242209-2025-09-01-2025-09-01-2.md	failed	Method invocation failed because [System.IO.Path] does not contain a method named 'GetRelativePath'.
Areas/personal/2025-09-01-nl69ingb0702242209-2025-09-01-2025-09-01.md	Daily/2025/09/2025-09-01-nl69ingb0702242209-2025-09-01-2025-09-01.md	failed	Method invocation failed because [System.IO.Path] does not contain a method named 'GetRelativePath'.
Areas/personal/2025-09-01-reimbursment-claim-canceled-flight-dbv-ams-30-08.md	Daily/2025/09/2025-09-01-reimbursment-claim-canceled-flight-dbv-ams-30-08.md	failed	Method invocation failed because [System.IO.Path] does not contain a method named 'GetRelativePath'.
Areas/personal/2025-09-12-st-core-growth.md	Daily/2025/09/2025-09-12-st-core-growth.md	failed	Method invocation failed because [System.IO.Path] does not contain a method named 'GetRelativePath'.
Areas/personal/2025-09-14-st-core-growth-sophia.md	Daily/2025/09/2025-09-14-st-core-growth-sophia.md	failed	Method invocation failed because [System.IO.Path] does not contain a method named 'GetRelativePath'.
Areas/personal/2025-09-18-a-panic-attack-on-the-way-to-paradise.md	Daily/2025/09/2025-09-18-a-panic-attack-on-the-way-to-paradise.md	failed	Method invocation failed because [System.IO.Path] does not contain a method named 'GetRelativePath'.
Areas/personal/2025-09-24-100m-leads-by-alex-hormozi-20231222143136.md	Daily/2025/09/2025-09-24-100m-leads-by-alex-hormozi-20231222143136.md	failed	Method invocation failed because [System.IO.Path] does not contain a method named 'GetRelativePath'.
Areas/personal/2025-09-24-affiliate-black-book-100m-money-models.md	Daily/2025/09/2025-09-24-affiliate-black-book-100m-money-models.md	failed	Method invocation failed because [System.IO.Path] does not contain a method named 'GetRelativePath'.
Areas/personal/2025-09-24-the-new-secret-chapter-how-to-make-money.md	Daily/2025/09/2025-09-24-the-new-secret-chapter-how-to-make-money.md	failed	Method invocation failed because [System.IO.Path] does not contain a method named 'GetRelativePath'.
